Claim_ID,TANS_Org_ID,Claim_Month,Total_Meals_Claimed,Approved_ADP,Reimbursement_Requested,Status,TX_UNPS_CE_ID,Entity_Name,Program_Type,ADP_Violation,Potential_Disallowed_Cost,Pending_Cash_Flow_Impact
CLM-2026-86730,ORG-1000,2026-04-01,2908,4140,7270.0,Denied,CE-9000,Texas School District 0,CACFP,False,0.0,0.0
CLM-2026-53043,ORG-1001,2026-04-01,483,660,1207.5,Pending Review,CE-9001,Texas School District 1,SFSP,False,0.0,1207.5
CLM-2026-59348,ORG-1002,2026-04-01,3649,4895,15508.25,Pending Review,CE-9002,Texas School District 2,NSLP,False,0.0,15508.25
CLM-2026-50173,ORG-1003,2026-04-01,1534,2088,3835.0,Pending Review,CE-9003,Texas School District 3,CACFP,False,0.0,3835.0
CLM-2026-40814,ORG-1004,2026-04-01,2960,3995,7400.0,Approved,CE-9004,Texas School District 4,CACFP,False,0.0,0.0
CLM-2026-27505,ORG-1005,2026-04-01,3844,4634,9610.0,Pending Review,CE-9005,Texas School District 5,SFSP,False,0.0,9610.0
CLM-2026-57583,ORG-1006,2026-04-01,902,1139,3833.5,Approved,CE-9006,Texas School District 6,NSLP,False,0.0,0.0
CLM-2026-66981,ORG-1007,2026-04-01,2415,3124,10263.75,Approved,CE-9007,Texas School District 7,NSLP,False,0.0,0.0
CLM-2026-30120,ORG-1008,2026-04-01,2256,3091,5640.0,Approved,CE-9008,Texas School District 8,CACFP,False,0.0,0.0
CLM-2026-40706,ORG-1009,2026-04-01,1319,1663,3297.5,Approved,CE-9009,Texas School District 9,SBP,False,0.0,0.0
CLM-2026-37736,ORG-1010,2026-04-01,3389,3855,8472.5,Approved,CE-9010,Texas School District 10,CACFP,False,0.0,0.0
CLM-2026-25469,ORG-1011,2026-04-01,2514,3306,6285.0,Approved,CE-9011,Texas School District 11,CACFP,False,0.0,0.0
CLM-2026-84386,ORG-1012,2026-04-01,5282,4809,13205.0,Pending Review,CE-9012,Texas School District 12,CACFP,True,1182.5,13205.0
CLM-2026-90630,ORG-1013,2026-04-01,3714,4409,9285.0,Approved,CE-9013,Texas School District 13,CACFP,False,0.0,0.0
CLM-2026-68601,ORG-1014,2026-04-01,3461,4783,8652.5,Approved,CE-9014,Texas School District 14,SFSP,False,0.0,0.0
CLM-2026-71608,ORG-1015,2026-04-01,522,643,2218.5,Approved,CE-9015,Texas School District 15,NSLP,False,0.0,0.0
CLM-2026-83594,ORG-1016,2026-04-01,2809,3728,7022.5,Approved,CE-9016,Texas School District 16,SFSP,False,0.0,0.0
CLM-2026-57050,ORG-1017,2026-04-01,949,1338,2372.5,Pending Review,CE-9017,Texas School District 17,SFSP,False,0.0,2372.5
CLM-2026-74888,ORG-1018,2026-04-01,1249,1732,3122.5,Approved,CE-9018,Texas School District 18,SFSP,False,0.0,0.0
CLM-2026-52618,ORG-1019,2026-04-01,3575,4927,8937.5,Denied,CE-9019,Texas School District 19,CACFP,False,0.0,0.0
CLM-2026-69448,ORG-1020,2026-04-01,842,1093,2105.0,Pending Review,CE-9020,Texas School District 20,SBP,False,0.0,2105.0
CLM-2026-49847,ORG-1021,2026-04-01,2386,2892,10140.5,Approved,CE-9021,Texas School District 21,NSLP,False,0.0,0.0
CLM-2026-53681,ORG-1022,2026-04-01,4313,4949,10782.5,Approved,CE-9022,Texas School District 22,SBP,False,0.0,0.0
CLM-2026-47543,ORG-1023,2026-04-01,727,827,1817.5,Pending Review,CE-9023,Texas School District 23,SFSP,False,0.0,1817.5
CLM-2026-32756,ORG-1024,2026-04-01,3375,4072,8437.5,Pending Review,CE-9024,Texas School District 24,SFSP,False,0.0,8437.5
CLM-2026-99829,ORG-1025,2026-04-01,2528,3541,6320.0,Pending Review,CE-9025,Texas School District 25,SBP,False,0.0,6320.0
CLM-2026-97607,ORG-1026,2026-04-01,907,1227,2267.5,Pending Review,CE-9026,Texas School District 26,SBP,False,0.0,2267.5
CLM-2026-11363,ORG-1027,2026-04-01,2817,3673,7042.5,Approved,CE-9027,Texas School District 27,SBP,False,0.0,0.0
CLM-2026-98195,ORG-1028,2026-04-01,1937,2330,4842.5,Approved,CE-9028,Texas School District 28,SFSP,False,0.0,0.0
CLM-2026-23971,ORG-1029,2026-04-01,2883,3651,7207.5,Approved,CE-9029,Texas School District 29,SFSP,False,0.0,0.0
CLM-2026-75296,ORG-1030,2026-04-01,3784,4872,16082.0,Pending Review,CE-9030,Texas School District 30,NSLP,False,0.0,16082.0
CLM-2026-45661,ORG-1031,2026-04-01,1133,730,4815.25,Approved,CE-9031,Texas School District 31,NSLP,True,1712.75,0.0
CLM-2026-81079,ORG-1032,2026-04-01,1690,2260,4225.0,Approved,CE-9032,Texas School District 32,SFSP,False,0.0,0.0
CLM-2026-65981,ORG-1033,2026-04-01,1107,1545,2767.5,Approved,CE-9033,Texas School District 33,SBP,False,0.0,0.0
CLM-2026-95951,ORG-1034,2026-04-01,751,964,1877.5,Approved,CE-9034,Texas School District 34,SBP,False,0.0,0.0
CLM-2026-53028,ORG-1035,2026-04-01,2580,2920,10965.0,Approved,CE-9035,Texas School District 35,NSLP,False,0.0,0.0
CLM-2026-66386,ORG-1036,2026-04-01,1396,1647,3490.0,Pending Review,CE-9036,Texas School District 36,SFSP,False,0.0,3490.0
CLM-2026-45531,ORG-1037,2026-04-01,3380,4520,14365.0,Approved,CE-9037,Texas School District 37,NSLP,False,0.0,0.0
CLM-2026-42053,ORG-1038,2026-04-01,419,550,1780.75,Pending Review,CE-9038,Texas School District 38,NSLP,False,0.0,1780.75
CLM-2026-67378,ORG-1039,2026-04-01,1567,2109,3917.5,Approved,CE-9039,Texas School District 39,CACFP,False,0.0,0.0
CLM-2026-28706,ORG-1040,2026-04-01,1333,1859,3332.5,Approved,CE-9040,Texas School District 40,CACFP,False,0.0,0.0
CLM-2026-24186,ORG-1041,2026-04-01,2316,3055,5790.0,Pending Review,CE-9041,Texas School District 41,CACFP,False,0.0,5790.0
CLM-2026-77939,ORG-1042,2026-04-01,1953,2224,4882.5,Pending Review,CE-9042,Texas School District 42,SBP,False,0.0,4882.5
CLM-2026-62222,ORG-1043,2026-04-01,2044,2426,5110.0,Approved,CE-9043,Texas School District 43,SFSP,False,0.0,0.0
CLM-2026-61477,ORG-1044,2026-04-01,3299,4080,8247.5,Pending Review,CE-9044,Texas School District 44,SFSP,False,0.0,8247.5
CLM-2026-35885,ORG-1045,2026-04-01,2362,2797,5905.0,Approved,CE-9045,Texas School District 45,SFSP,False,0.0,0.0
CLM-2026-33031,ORG-1046,2026-04-01,3196,3589,7990.0,Approved,CE-9046,Texas School District 46,SFSP,False,0.0,0.0
CLM-2026-31646,ORG-1047,2026-04-01,1131,1364,2827.5,Approved,CE-9047,Texas School District 47,CACFP,False,0.0,0.0
CLM-2026-89210,ORG-1048,2026-04-01,2236,2894,5590.0,Approved,CE-9048,Texas School District 48,SBP,False,0.0,0.0
CLM-2026-38514,ORG-1049,2026-04-01,1113,1301,2782.5,Approved,CE-9049,Texas School District 49,SBP,False,0.0,0.0
CLM-2026-30644,ORG-1050,2026-04-01,4123,4951,10307.5,Approved,CE-9050,Texas School District 50,CACFP,False,0.0,0.0
CLM-2026-25198,ORG-1051,2026-04-01,1914,2607,4785.0,Approved,CE-9051,Texas School District 51,SBP,False,0.0,0.0
CLM-2026-64959,ORG-1052,2026-04-01,424,601,1060.0,Approved,CE-9052,Texas School District 52,CACFP,False,0.0,0.0
CLM-2026-48845,ORG-1053,2026-04-01,1254,1649,3135.0,Approved,CE-9053,Texas School District 53,SFSP,False,0.0,0.0
CLM-2026-13826,ORG-1054,2026-04-01,901,1190,2252.5,Pending Review,CE-9054,Texas School District 54,CACFP,False,0.0,2252.5
CLM-2026-55095,ORG-1055,2026-04-01,3465,4097,8662.5,Approved,CE-9055,Texas School District 55,SFSP,False,0.0,0.0
CLM-2026-94248,ORG-1056,2026-04-01,437,581,1092.5,Approved,CE-9056,Texas School District 56,SFSP,False,0.0,0.0
CLM-2026-14407,ORG-1057,2026-04-01,2210,2653,9392.5,Pending Review,CE-9057,Texas School District 57,NSLP,False,0.0,9392.5
CLM-2026-97929,ORG-1058,2026-04-01,451,559,1127.5,Approved,CE-9058,Texas School District 58,CACFP,False,0.0,0.0
CLM-2026-52322,ORG-1059,2026-04-01,616,736,2618.0,Approved,CE-9059,Texas School District 59,NSLP,False,0.0,0.0
CLM-2026-90854,ORG-1060,2026-04-01,1883,1740,4707.5,Approved,CE-9060,Texas School District 60,CACFP,True,357.5,0.0
CLM-2026-97226,ORG-1061,2026-04-01,1623,2189,4057.5,Approved,CE-9061,Texas School District 61,CACFP,False,0.0,0.0
CLM-2026-55733,ORG-1062,2026-04-01,2514,2216,10684.5,Pending Review,CE-9062,Texas School District 62,NSLP,True,1266.5,10684.5
CLM-2026-17802,ORG-1063,2026-04-01,1066,1462,4530.5,Pending Review,CE-9063,Texas School District 63,NSLP,False,0.0,4530.5
CLM-2026-10396,ORG-1064,2026-04-01,2649,3442,6622.5,Approved,CE-9064,Texas School District 64,CACFP,False,0.0,0.0
CLM-2026-11694,ORG-1065,2026-04-01,3345,4320,8362.5,Pending Review,CE-9065,Texas School District 65,SBP,False,0.0,8362.5
CLM-2026-65389,ORG-1066,2026-04-01,3730,4820,9325.0,Pending Review,CE-9066,Texas School District 66,SFSP,False,0.0,9325.0
CLM-2026-35438,ORG-1067,2026-04-01,670,932,2847.5,Approved,CE-9067,Texas School District 67,NSLP,False,0.0,0.0
CLM-2026-23446,ORG-1068,2026-04-01,641,797,1602.5,Pending Review,CE-9068,Texas School District 68,SFSP,False,0.0,1602.5
CLM-2026-86771,ORG-1069,2026-04-01,2582,3335,6455.0,Approved,CE-9069,Texas School District 69,SBP,False,0.0,0.0
CLM-2026-89452,ORG-1070,2026-04-01,931,1205,2327.5,Pending Review,CE-9070,Texas School District 70,SBP,False,0.0,2327.5
CLM-2026-14938,ORG-1071,2026-04-01,627,749,1567.5,Pending Review,CE-9071,Texas School District 71,SBP,False,0.0,1567.5
CLM-2026-94483,ORG-1072,2026-04-01,557,764,2367.25,Approved,CE-9072,Texas School District 72,NSLP,False,0.0,0.0
CLM-2026-60868,ORG-1073,2026-04-01,3351,4507,8377.5,Approved,CE-9073,Texas School District 73,SBP,False,0.0,0.0
CLM-2026-65116,ORG-1074,2026-04-01,2932,2736,12461.0,Approved,CE-9074,Texas School District 74,NSLP,True,833.0,0.0
CLM-2026-11411,ORG-1075,2026-04-01,2664,3213,6660.0,Approved,CE-9075,Texas School District 75,SBP,False,0.0,0.0
CLM-2026-58807,ORG-1076,2026-04-01,3600,4121,9000.0,Pending Review,CE-9076,Texas School District 76,SFSP,False,0.0,9000.0
CLM-2026-41086,ORG-1077,2026-04-01,2892,3232,7230.0,Pending Review,CE-9077,Texas School District 77,SFSP,False,0.0,7230.0
CLM-2026-50898,ORG-1078,2026-04-01,1143,1476,2857.5,Approved,CE-9078,Texas School District 78,CACFP,False,0.0,0.0
CLM-2026-71758,ORG-1079,2026-04-01,3533,4253,8832.5,Approved,CE-9079,Texas School District 79,SFSP,False,0.0,0.0
CLM-2026-40231,ORG-1080,2026-04-01,3188,4460,7970.0,Approved,CE-9080,Texas School District 80,CACFP,False,0.0,0.0
CLM-2026-37968,ORG-1081,2026-04-01,4122,4907,10305.0,Approved,CE-9081,Texas School District 81,SFSP,False,0.0,0.0
CLM-2026-91730,ORG-1082,2026-04-01,1213,1378,5155.25,Approved,CE-9082,Texas School District 82,NSLP,False,0.0,0.0
CLM-2026-21098,ORG-1083,2026-04-01,1827,2223,4567.5,Approved,CE-9083,Texas School District 83,SFSP,False,0.0,0.0
CLM-2026-38333,ORG-1084,2026-04-01,1985,2217,4962.5,Pending Review,CE-9084,Texas School District 84,CACFP,False,0.0,4962.5
CLM-2026-58679,ORG-1085,2026-04-01,1353,1679,3382.5,Approved,CE-9085,Texas School District 85,CACFP,False,0.0,0.0
CLM-2026-91824,ORG-1086,2026-04-01,635,761,1587.5,Approved,CE-9086,Texas School District 86,SBP,False,0.0,0.0
CLM-2026-62332,ORG-1087,2026-04-01,1875,2253,7968.75,Pending Review,CE-9087,Texas School District 87,NSLP,False,0.0,7968.75
CLM-2026-41741,ORG-1088,2026-04-01,2747,3594,6867.5,Approved,CE-9088,Texas School District 88,SFSP,False,0.0,0.0
CLM-2026-58168,ORG-1089,2026-04-01,550,666,1375.0,Denied,CE-9089,Texas School District 89,SBP,False,0.0,0.0
CLM-2026-21965,ORG-1090,2026-04-01,4082,4830,10205.0,Denied,CE-9090,Texas School District 90,SFSP,False,0.0,0.0
CLM-2026-52408,ORG-1091,2026-04-01,2040,2659,5100.0,Approved,CE-9091,Texas School District 91,SFSP,False,0.0,0.0
CLM-2026-48755,ORG-1092,2026-04-01,910,1101,2275.0,Approved,CE-9092,Texas School District 92,SBP,False,0.0,0.0
CLM-2026-82529,ORG-1093,2026-04-01,2789,3230,6972.5,Approved,CE-9093,Texas School District 93,SBP,False,0.0,0.0
CLM-2026-60492,ORG-1094,2026-04-01,2308,3109,5770.0,Approved,CE-9094,Texas School District 94,SBP,False,0.0,0.0
CLM-2026-91613,ORG-1095,2026-04-01,905,1265,2262.5,Approved,CE-9095,Texas School District 95,SBP,False,0.0,0.0
CLM-2026-75351,ORG-1096,2026-04-01,1642,2031,4105.0,Approved,CE-9096,Texas School District 96,SBP,False,0.0,0.0
CLM-2026-34871,ORG-1097,2026-04-01,503,576,1257.5,Approved,CE-9097,Texas School District 97,SFSP,False,0.0,0.0
CLM-2026-31449,ORG-1098,2026-04-01,3238,2802,8095.0,Approved,CE-9098,Texas School District 98,SBP,True,1090.0,0.0
CLM-2026-85086,ORG-1099,2026-04-01,3562,4587,15138.5,Approved,CE-9099,Texas School District 99,NSLP,False,0.0,0.0
